,PerCapita_GDP_2015,agri_gdp_percentage(AVG from 2011 to 2013),AVG GDP 2011-2013 Constant 2010,Cons_kg.yr Cereals - Excluding Beer,Cons_kg.yr Eggs,"Cons_kg.yr Fish, Seafood",Cons_kg.yr Meat,Cons_kg.yr Milk - Excluding Butter,Cons_kg.yr Nuts_and_Seeds,Cons_kg.yr Pulses,Cons_kg.yr Starchy Roots,"Fish, Seafood",Bovine_Sheep_Pigmeat_Poultry,Milk_Egg,Cereals,Primary_Religion,Travel_time_to_cities,Soil_suit_overall,Soil_suit_cereals,eggs,dairy,meat_fish,nuts_pulses,grains_tubers,animal_source_foods,Travel_time_to_cities_group,Soil_suit_overall_group,Soil_suit_cereals_group,Cons_kg.yr Cereals - Excluding Beer_group,Cons_kg.yr Eggs_group,"Cons_kg.yr Fish, Seafood_group",Cons_kg.yr Meat_group,Cons_kg.yr Milk - Excluding Butter_group,Cons_kg.yr Nuts_and_Seeds_group,Cons_kg.yr Pulses_group,Cons_kg.yr Starchy Roots_group,"Fish, Seafood_group",Bovine_Sheep_Pigmeat_Poultry_group,Milk_Egg_group,Cereals_group,PerCapita_GDP_2015_group,agri_gdp_percentage(AVG from 2011 to 2013)_group,AVG GDP 2011-2013 Constant 2010_group,eggs_group,dairy_group,meat_fish_group,nuts_pulses_group,grains_tubers_group,animal_source_foods_group
0,16748.36,8.266234925,144000000000.0,140.708,17.324,15.084000000000001,51.04,156.888,2.434,1.5419999999999998,135.79399999999998,202.0,2224.6666666666665,12430.333333333336,76976.0,0,82.41833000000001,8.56108,8.491615,0.34652014652014695,0.159340659340659,0.48021978021978007,0.159340659340659,0.8413919413919408,0.9860805860805859,9,5,5,4,1,1,2,6,1,1,5,3,23,125,769,17,2,141656,2,1,1,1,2,2
1,36616.53,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,74.77269,8.51168,8.491615,0.046875,0.353050595238095,0.280071924603175,0.07421875,0.447915365884116,0.67999751984127,8,5,5,4,1,1,2,6,1,1,2,1,2,6,22,37,2,5229,1,1,1,1,1,2
2,196970.7,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,96.4523,8.313398,8.491615,0.10658508158508198,0.31977189477189505,0.136904761904762,0.15,0.609615384615385,0.5632617382617379,10,5,5,4,1,1,2,6,1,1,2,1,2,6,22,197,2,5229,1,1,1,1,2,2
5,2659.3309999999997,8.266234925,144000000000.0,140.708,17.324,15.084000000000001,51.04,156.888,2.434,1.5419999999999998,135.79399999999998,202.0,2224.6666666666665,12430.333333333336,76976.0,0,54.772619999999996,8.7399,8.919906,0.0871212121212121,0.0,0.0930735930735931,0.267857142857143,0.643127705627706,0.180194805194805,6,5,5,4,1,1,2,6,1,1,5,3,23,125,769,3,2,141656,1,1,1,2,2,1
6,4306.055,8.266234925,144000000000.0,140.708,17.324,15.084000000000001,51.04,156.888,2.434,1.5419999999999998,135.79399999999998,202.0,2224.6666666666665,12430.333333333336,76976.0,0,85.29751999999999,8.697246,8.919906,0.137813650695654,0.269844607853945,0.36580926937838004,0.235242923377099,0.8740536436831249,0.77346752792798,9,5,5,4,1,1,2,6,1,1,5,3,23,125,769,5,2,141656,1,1,1,1,2,2
7,1396.489,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,70.76281,8.717217999999999,8.998034,0.142307692307692,0.378205128205128,0.48241758241758204,0.278388278388278,0.9897435897435899,1.0029304029304,8,5,5,4,1,1,2,6,1,1,2,1,2,6,22,2,2,5229,1,1,1,2,2,3
9,938.1018,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,55.77211,8.547049000000001,8.491615,0.174747474747475,0.285858585858586,0.4626262626262629,0.28333333333333305,0.926767676767677,0.923232323232323,6,5,5,4,1,1,2,6,1,1,2,1,2,6,22,1,2,5229,1,1,1,2,2,2
11,1885.53,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,83.61144,8.536519,8.491615,0.19583333333333303,0.20238095238095197,0.35,0.19166666666666698,0.704166666666667,0.7482142857142858,9,5,5,4,1,1,2,6,1,1,2,1,2,6,22,2,2,5229,1,1,1,1,2,2
13,19171.64,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,92.8088,6.528969999999999,7.491842999999999,0.0737183868762816,0.222002997002997,0.17259056732740902,0.0590225563909774,0.5811736509104929,0.468311951206688,10,4,4,4,1,1,2,6,1,1,2,1,2,6,22,20,2,5229,1,1,1,1,2,1
18,1729.489,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,66.31911,8.524646,8.491615,0.147695534823681,0.19407234641788396,0.24072273073989303,0.133650702844067,0.6575674135170699,0.582490611981459,7,5,5,4,1,1,2,6,1,1,2,1,2,6,22,2,2,5229,1,1,1,1,2,2
21,36109.21,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,71.13665999999999,8.532380999999999,8.491615,0.18367346938775503,0.3536281179138321,0.336394557823129,0.307142857142857,0.7155328798185941,0.873696145124716,8,5,5,4,1,1,2,6,1,1,2,1,2,6,22,37,2,5229,1,1,1,2,2,2
23,1821.882,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,64.75803,8.382581,8.491615,0.0901277941659068,0.256484380713056,0.314603258205799,0.20580114078299203,0.689810475990683,0.661215433084762,7,5,5,4,1,1,2,6,1,1,2,1,2,6,22,2,2,5229,1,1,1,1,2,2
29,9624.632,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,57.49886,7.916223,7.4778720000000005,0.0660714285714286,0.281135787648392,0.20988358047181602,0.17393578643578697,0.6451073436367549,0.5570907966916371,6,4,4,4,1,1,2,6,1,1,2,1,2,6,22,10,2,5229,1,1,1,1,2,2
30,13618.25,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,43.99471,8.376653999999998,8.491238000000001,0.075,0.17166666666666697,0.257272727272727,0.228888888888889,0.5581313131313129,0.503939393939394,5,5,5,4,1,1,2,6,1,1,2,1,2,6,22,14,2,5229,1,1,1,1,2,2
31,4426.706,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,18.00986,8.440497,8.491615,0.0818181818181818,0.390909090909091,0.351839826839827,0.18333333333333302,0.8627902400629671,0.8245670995671,2,5,5,4,1,1,2,6,1,1,2,1,2,6,22,5,2,5229,1,1,1,1,2,2
32,24324.76,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,30.51476,8.258685,8.491615,0.207980889724311,0.421326754385965,0.407150689223058,0.114035087719298,0.7584194862155391,1.03645833333333,4,5,5,4,1,1,2,6,1,1,2,1,2,6,22,25,2,5229,1,1,1,1,2,3
35,3172.5820000000003,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,58.22275,7.991592,8.491238000000001,0.138206566171299,0.31819798857758197,0.272258848411426,0.171562181144561,0.7294478713057929,0.728663403160307,6,4,5,4,1,1,2,6,1,1,2,1,2,6,22,4,2,5229,1,1,1,1,2,2
37,2045.973,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,23.07095,7.713178999999999,7.982326,0.20453326629797197,0.30011655011655,0.226893150422562,0.265875409993057,0.8821861145390559,0.7315429668370849,3,4,4,4,1,1,2,6,1,1,2,1,2,6,22,3,2,5229,1,1,1,2,2,2
39,11011.26,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,41.49964,7.523714999999999,7.4784,0.207276057276057,0.269938394938395,0.36908924408924393,0.28202630702630704,0.7764652014652009,0.846303696303695,5,4,4,4,1,1,2,6,1,1,2,1,2,6,22,12,2,5229,1,1,1,2,2,2
42,604.6749,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,1.939805,7.410225,7.47553,0.202002442002442,0.267234987234987,0.32263736263736303,0.214493284493284,0.8959285159285151,0.7918747918747909,1,4,4,4,1,1,2,6,1,1,2,1,2,6,22,1,2,5229,1,1,1,1,2,2
43,413.2396,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,10.75727,7.527880000000001,7.47553,0.14781746031746001,0.508228905597326,0.12463450292397699,0.223351347117795,0.683025271512114,0.780680868838766,2,4,4,4,1,1,2,6,1,1,2,1,2,6,22,1,2,5229,1,2,1,1,2,2
47,1934.884,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,31.74235,8.239672,8.491615,0.262051316738817,0.22603795306001198,0.366889646301411,0.23342490842490804,0.901976036626772,0.85497891610024,4,5,5,4,1,1,2,6,1,1,2,1,2,6,22,2,2,5229,2,1,1,1,2,2
49,261.6205,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,79.58694,7.1555800000000005,6.9850460000000005,0.10769230769230802,0.42601809954751096,0.300452488687783,0.135746606334842,0.9073152337858221,0.8341628959276021,8,4,4,4,1,1,2,6,1,1,2,1,2,6,22,1,2,5229,1,1,1,1,2,2
51,16236.24,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,52.965309999999995,8.048684,7.984669,0.12234671893762801,0.392901038355584,0.1375,0.222759942078124,0.679325157166066,0.652747757293212,6,5,4,4,1,1,2,6,1,1,2,1,2,6,22,17,2,5229,1,1,1,1,2,2
54,2606.353,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,8.499638000000001,7.447255999999999,7.4778720000000005,0.16654591128748,0.24022845947079602,0.282381857528633,0.214962199938278,0.739074968994506,0.6891562282869088,1,4,4,4,1,1,2,6,1,1,2,1,2,6,22,3,2,5229,1,1,1,1,2,2
55,121921.1,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,18.30862,7.343999999999999,7.4730360000000005,0.0486982752967408,0.147892601856796,0.271143775235847,0.207363225010284,0.585120080260745,0.467734652389384,2,4,4,4,1,1,2,6,1,1,2,1,2,6,22,122,2,5229,1,1,1,1,2,1
56,9910.67,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,65.66144,7.445438,7.478778,0.07600732600732599,0.27413657770800604,0.221415489272632,0.0984432234432234,0.684791399077113,0.571559392987964,7,4,4,4,1,1,2,6,1,1,2,1,2,6,22,10,2,5229,1,1,1,1,2,2
58,13372.94,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,24.28361,7.893946000000001,7.985197,0.0778252525111021,0.143278478335845,0.328522839238101,0.13876039579918698,0.5477350716423739,0.549626570085048,3,4,4,4,1,1,2,6,1,1,2,1,2,6,22,14,2,5229,1,1,1,1,2,2
61,8218.938,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,39.262679999999996,7.472249000000001,7.4778720000000005,0.156516857755248,0.49646968098980504,0.132109685979655,0.239478787466404,0.827412422458862,0.7850962247247081,4,4,4,4,1,1,2,6,1,1,2,1,2,6,22,9,2,5229,1,1,1,1,2,2
63,8090.978,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,28.70587,7.339536,7.47553,0.0666840416407891,0.24550209978410698,0.3841196433324461,0.267448170821873,0.6935512968384941,0.6963057847573421,3,4,4,4,1,1,2,6,1,1,2,1,2,6,22,9,2,5229,1,1,1,2,2,2
65,209.7401,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,51.99516,7.495574,7.491465,0.15564892623716198,0.15882352941176503,0.281334351922587,0.127077497665733,0.574614088059466,0.5958068075715129,6,4,4,4,1,1,2,6,1,1,2,1,2,6,22,1,2,5229,1,1,1,1,2,2
67,5001.946,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,80.32281,7.49027,6.9850460000000005,0.0547794117647059,0.38124730661495393,0.12362132352941198,0.245668026826115,0.5038646708683471,0.559648041909071,9,4,4,4,1,1,2,6,1,1,2,1,2,6,22,6,2,5229,1,1,1,1,2,2
68,2913.2,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,35.23722,7.542111,7.984141,0.23571428571428601,0.30977443609022604,0.339473684210526,0.0780701754385965,0.860025062656641,0.8849624060150378,4,4,4,4,1,1,2,6,1,1,2,1,2,6,22,3,2,5229,1,1,1,1,2,2
69,6649.191999999999,11.12759587,7572947465.0,148.406,9.95,13.06,36.246,153.394,2.108,1.0759999999999998,56.794,9.0,115.66666666666666,574.3333333333334,2356.6666666666665,0,33.50333,7.551391000000001,7.4778720000000005,0.19355118565644897,0.267322151532678,0.148091382301909,0.235584152689416,0.7922064777327942,0.608964719491035,4,4,4,4,1,1,2,6,1,1,2,1,2,6,22,7,2,5229,1,1,1,1,2,2
