,Unnamed: 0,code,invasive,scientific_name,scope,score,severity,timing,title,Unnamed: 0.1,category,class_name,family_name,genus_name,infra_name,infra_rank,kingdom_name,order_name,phylum_name,population,taxonid
0,0,5.3,,Aaadonta angaurana,Unknown,Unknown,Unknown,Ongoing,Logging & wood harvesting,0,CR,GASTROPODA,ENDODONTIDAE,Aaadonta,,,ANIMALIA,STYLOMMATOPHORA,MOLLUSCA,,3
1,1,5.3.5,,Aaadonta angaurana,Unknown,Unknown,Unknown,Ongoing,Motivation Unknown/Unrecorded,0,CR,GASTROPODA,ENDODONTIDAE,Aaadonta,,,ANIMALIA,STYLOMMATOPHORA,MOLLUSCA,,3
2,2,4.1,,Aaadonta constricta,Minority (<50%),Past Impact,Unknown,"Past, Likely to Return",Roads & railroads,1,EN,GASTROPODA,ENDODONTIDAE,Aaadonta,,,ANIMALIA,STYLOMMATOPHORA,MOLLUSCA,,4
3,3,5.3,,Aaadonta constricta,Unknown,Unknown,Unknown,Ongoing,Logging & wood harvesting,1,EN,GASTROPODA,ENDODONTIDAE,Aaadonta,,,ANIMALIA,STYLOMMATOPHORA,MOLLUSCA,,4
4,4,5.3.5,,Aaadonta constricta,Unknown,Unknown,Unknown,Ongoing,Motivation Unknown/Unrecorded,1,EN,GASTROPODA,ENDODONTIDAE,Aaadonta,,,ANIMALIA,STYLOMMATOPHORA,MOLLUSCA,,4
5,5,6.2,,Aaadonta constricta,Unknown,Past Impact,Unknown,"Past, Unlikely to Return","War, civil unrest & military exercises",1,EN,GASTROPODA,ENDODONTIDAE,Aaadonta,,,ANIMALIA,STYLOMMATOPHORA,MOLLUSCA,,4
6,6,7.1,,Aaadonta constricta,Unknown,Past Impact,Unknown,"Past, Unlikely to Return",Fire & fire suppression,1,EN,GASTROPODA,ENDODONTIDAE,Aaadonta,,,ANIMALIA,STYLOMMATOPHORA,MOLLUSCA,,4
7,7,7.1.3,,Aaadonta constricta,Unknown,Past Impact,Unknown,"Past, Unlikely to Return",Trend Unknown/Unrecorded,1,EN,GASTROPODA,ENDODONTIDAE,Aaadonta,,,ANIMALIA,STYLOMMATOPHORA,MOLLUSCA,,4
8,8,5.3,,Aaadonta fuscozonata,Unknown,Unknown,Unknown,Ongoing,Logging & wood harvesting,2,EN,GASTROPODA,ENDODONTIDAE,Aaadonta,,,ANIMALIA,STYLOMMATOPHORA,MOLLUSCA,,5
9,9,5.3.5,,Aaadonta fuscozonata,Unknown,Unknown,Unknown,Ongoing,Motivation Unknown/Unrecorded,2,EN,GASTROPODA,ENDODONTIDAE,Aaadonta,,,ANIMALIA,STYLOMMATOPHORA,MOLLUSCA,,5
10,10,6.2,,Aaadonta fuscozonata,Unknown,Past Impact,Unknown,"Past, Unlikely to Return","War, civil unrest & military exercises",2,EN,GASTROPODA,ENDODONTIDAE,Aaadonta,,,ANIMALIA,STYLOMMATOPHORA,MOLLUSCA,,5
11,11,7.1,,Aaadonta fuscozonata,Unknown,Past Impact,Unknown,"Past, Unlikely to Return",Fire & fire suppression,2,EN,GASTROPODA,ENDODONTIDAE,Aaadonta,,,ANIMALIA,STYLOMMATOPHORA,MOLLUSCA,,5
12,12,7.1.3,,Aaadonta fuscozonata,Unknown,Past Impact,Unknown,"Past, Unlikely to Return",Trend Unknown/Unrecorded,2,EN,GASTROPODA,ENDODONTIDAE,Aaadonta,,,ANIMALIA,STYLOMMATOPHORA,MOLLUSCA,,5
13,13,5.3,,Aaadonta irregularis,Unknown,Unknown,Unknown,Ongoing,Logging & wood harvesting,3,CR,GASTROPODA,ENDODONTIDAE,Aaadonta,,,ANIMALIA,STYLOMMATOPHORA,MOLLUSCA,,6
14,14,5.3.5,,Aaadonta irregularis,Unknown,Unknown,Unknown,Ongoing,Motivation Unknown/Unrecorded,3,CR,GASTROPODA,ENDODONTIDAE,Aaadonta,,,ANIMALIA,STYLOMMATOPHORA,MOLLUSCA,,6
15,15,6.2,,Aaadonta irregularis,Unknown,Past Impact,Unknown,"Past, Unlikely to Return","War, civil unrest & military exercises",3,CR,GASTROPODA,ENDODONTIDAE,Aaadonta,,,ANIMALIA,STYLOMMATOPHORA,MOLLUSCA,,6
16,16,7.1,,Aaadonta irregularis,Unknown,Past Impact,Unknown,"Past, Unlikely to Return",Fire & fire suppression,3,CR,GASTROPODA,ENDODONTIDAE,Aaadonta,,,ANIMALIA,STYLOMMATOPHORA,MOLLUSCA,,6
17,17,7.1.3,,Aaadonta irregularis,Unknown,Past Impact,Unknown,"Past, Unlikely to Return",Trend Unknown/Unrecorded,3,CR,GASTROPODA,ENDODONTIDAE,Aaadonta,,,ANIMALIA,STYLOMMATOPHORA,MOLLUSCA,,6
18,18,5.3,,Aaadonta kinlochi,Unknown,Unknown,Unknown,Ongoing,Logging & wood harvesting,4,CR,GASTROPODA,ENDODONTIDAE,Aaadonta,,,ANIMALIA,STYLOMMATOPHORA,MOLLUSCA,,7
19,19,5.3.5,,Aaadonta kinlochi,Unknown,Unknown,Unknown,Ongoing,Motivation Unknown/Unrecorded,4,CR,GASTROPODA,ENDODONTIDAE,Aaadonta,,,ANIMALIA,STYLOMMATOPHORA,MOLLUSCA,,7
20,20,5.3,,Aaadonta pelewana,Unknown,Unknown,Unknown,Ongoing,Logging & wood harvesting,5,CR,GASTROPODA,ENDODONTIDAE,Aaadonta,,,ANIMALIA,STYLOMMATOPHORA,MOLLUSCA,,8
21,21,5.3.5,,Aaadonta pelewana,Unknown,Unknown,Unknown,Ongoing,Motivation Unknown/Unrecorded,5,CR,GASTROPODA,ENDODONTIDAE,Aaadonta,,,ANIMALIA,STYLOMMATOPHORA,MOLLUSCA,,8
22,22,5.4,,Aaptosyax grypus,Majority (50-90%),Medium Impact: 7,Rapid Declines,Ongoing,Fishing & harvesting aquatic resources,6,CR,ACTINOPTERYGII,CYPRINIDAE,Aaptosyax,,,ANIMALIA,CYPRINIFORMES,CHORDATA,,9
23,23,5.4.1,,Aaptosyax grypus,Majority (50-90%),Medium Impact: 7,Rapid Declines,Ongoing,Intentional use: (subsistence/small scale) [harvest],6,CR,ACTINOPTERYGII,CYPRINIDAE,Aaptosyax,,,ANIMALIA,CYPRINIFORMES,CHORDATA,,9
