Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2511","Wheat and products","2011","2011","1000 tonnes","3388","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2805","Rice (Milled Equivalent)","2011","2011","1000 tonnes","448","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2513","Barley and products","2011","2011","1000 tonnes","306","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2514","Maize and products","2011","2011","1000 tonnes","300","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2907","Starchy Roots","2011","2011","1000 tonnes","205","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2549","Pulses, Other and products","2011","2011","1000 tonnes","67","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2731","Bovine Meat","2011","2011","1000 tonnes","138","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2732","Mutton & Goat Meat","2011","2011","1000 tonnes","161","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2734","Poultry Meat","2011","2011","1000 tonnes","26","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2949","Eggs","2011","2011","1000 tonnes","17","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2948","Milk - Excluding Butter","2011","2011","1000 tonnes","1743","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2960","Fish, Seafood","2011","2011","1000 tonnes","2","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2511","Wheat and products","2011","2011","1000 tonnes","293","S","Standardized data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2805","Rice (Milled Equivalent)","2011","2011","1000 tonnes","0","S","Standardized data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2513","Barley and products","2011","2011","1000 tonnes","9","S","Standardized data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2514","Maize and products","2011","2011","1000 tonnes","366","S","Standardized data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2515","Rye and products","2011","2011","1000 tonnes","3","S","Standardized data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2907","Starchy Roots","2011","2011","1000 tonnes","230","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2549","Pulses, Other and products","2011","2011","1000 tonnes","3","S","Standardized data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2731","Bovine Meat","2011","2011","1000 tonnes","65","S","Standardized data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2732","Mutton & Goat Meat","2011","2011","1000 tonnes","41","S","Standardized data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2733","Pigmeat","2011","2011","1000 tonnes","18","S","Standardized data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2734","Poultry Meat","2011","2011","1000 tonnes","17","S","Standardized data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2949","Eggs","2011","2011","1000 tonnes","32","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2948","Milk - Excluding Butter","2011","2011","1000 tonnes","1101","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2960","Fish, Seafood","2011","2011","1000 tonnes","7","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2511","Wheat and products","2011","2011","1000 tonnes","2555","S","Standardized data"
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2805","Rice (Milled Equivalent)","2011","2011","1000 tonnes","0","S","Standardized data"
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2513","Barley and products","2011","2011","1000 tonnes","1104","S","Standardized data"
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2514","Maize and products","2011","2011","1000 tonnes","1","S","Standardized data"
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2907","Starchy Roots","2011","2011","1000 tonnes","3862","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2549","Pulses, Other and products","2011","2011","1000 tonnes","71","S","Standardized data"
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2731","Bovine Meat","2011","2011","1000 tonnes","125","S","Standardized data"
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2732","Mutton & Goat Meat","2011","2011","1000 tonnes","270","S","Standardized data"
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2733","Pigmeat","2011","2011","1000 tonnes","0","S","Standardized data"
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2734","Poultry Meat","2011","2011","1000 tonnes","277","S","Standardized data"
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2949","Eggs","2011","2011","1000 tonnes","280","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2948","Milk - Excluding Butter","2011","2011","1000 tonnes","2733","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2960","Fish, Seafood","2011","2011","1000 tonnes","104","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5511","Production","2511","Wheat and products","2011","2011","1000 tonnes","4","S","Standardized data"
"FBS","Food Balance Sheets","7","Angola","5511","Production","2805","Rice (Milled Equivalent)","2011","2011","1000 tonnes","15","S","Standardized data"
"FBS","Food Balance Sheets","7","Angola","5511","Production","2514","Maize and products","2011","2011","1000 tonnes","1262","S","Standardized data"
"FBS","Food Balance Sheets","7","Angola","5511","Production","2907","Starchy Roots","2011","2011","1000 tonnes","16220","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5511","Production","2731","Bovine Meat","2011","2011","1000 tonnes","100","S","Standardized data"
"FBS","Food Balance Sheets","7","Angola","5511","Production","2732","Mutton & Goat Meat","2011","2011","1000 tonnes","22","S","Standardized data"
"FBS","Food Balance Sheets","7","Angola","5511","Production","2733","Pigmeat","2011","2011","1000 tonnes","77","S","Standardized data"
