Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2511","Wheat and products","2011","2011","1000 tonnes","3388","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2511","Wheat and products","2012","2012","1000 tonnes","5050","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2511","Wheat and products","2013","2013","1000 tonnes","5169","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2805","Rice (Milled Equivalent)","2011","2011","1000 tonnes","448","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2805","Rice (Milled Equivalent)","2012","2012","1000 tonnes","334","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2805","Rice (Milled Equivalent)","2013","2013","1000 tonnes","342","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2513","Barley and products","2011","2011","1000 tonnes","306","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2513","Barley and products","2012","2012","1000 tonnes","504","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2513","Barley and products","2013","2013","1000 tonnes","514","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2514","Maize and products","2011","2011","1000 tonnes","300","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2514","Maize and products","2012","2012","1000 tonnes","310","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2514","Maize and products","2013","2013","1000 tonnes","312","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2907","Starchy Roots","2011","2011","1000 tonnes","205","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2907","Starchy Roots","2012","2012","1000 tonnes","230","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2907","Starchy Roots","2013","2013","1000 tonnes","303","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2549","Pulses, Other and products","2011","2011","1000 tonnes","67","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2549","Pulses, Other and products","2012","2012","1000 tonnes","69","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2549","Pulses, Other and products","2013","2013","1000 tonnes","60","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2731","Bovine Meat","2011","2011","1000 tonnes","138","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2731","Bovine Meat","2012","2012","1000 tonnes","139","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2731","Bovine Meat","2013","2013","1000 tonnes","134","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2732","Mutton & Goat Meat","2011","2011","1000 tonnes","161","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2732","Mutton & Goat Meat","2012","2012","1000 tonnes","155","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2732","Mutton & Goat Meat","2013","2013","1000 tonnes","150","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2734","Poultry Meat","2011","2011","1000 tonnes","26","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2734","Poultry Meat","2012","2012","1000 tonnes","25","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2734","Poultry Meat","2013","2013","1000 tonnes","26","S","Standardized data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2949","Eggs","2011","2011","1000 tonnes","17","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2949","Eggs","2012","2012","1000 tonnes","18","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2949","Eggs","2013","2013","1000 tonnes","18","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2948","Milk - Excluding Butter","2011","2011","1000 tonnes","1743","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2948","Milk - Excluding Butter","2012","2012","1000 tonnes","1845","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2948","Milk - Excluding Butter","2013","2013","1000 tonnes","1835","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2960","Fish, Seafood","2011","2011","1000 tonnes","2","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2960","Fish, Seafood","2012","2012","1000 tonnes","2","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","5511","Production","2960","Fish, Seafood","2013","2013","1000 tonnes","2","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2511","Wheat and products","2011","2011","1000 tonnes","293","S","Standardized data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2511","Wheat and products","2012","2012","1000 tonnes","300","S","Standardized data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2511","Wheat and products","2013","2013","1000 tonnes","294","S","Standardized data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2805","Rice (Milled Equivalent)","2011","2011","1000 tonnes","0","S","Standardized data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2805","Rice (Milled Equivalent)","2012","2012","1000 tonnes","0","S","Standardized data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2805","Rice (Milled Equivalent)","2013","2013","1000 tonnes","0","S","Standardized data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2513","Barley and products","2011","2011","1000 tonnes","9","S","Standardized data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2513","Barley and products","2012","2012","1000 tonnes","7","S","Standardized data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2513","Barley and products","2013","2013","1000 tonnes","7","S","Standardized data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2514","Maize and products","2011","2011","1000 tonnes","366","S","Standardized data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2514","Maize and products","2012","2012","1000 tonnes","360","S","Standardized data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2514","Maize and products","2013","2013","1000 tonnes","372","S","Standardized data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2515","Rye and products","2011","2011","1000 tonnes","3","S","Standardized data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2515","Rye and products","2012","2012","1000 tonnes","3","S","Standardized data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2515","Rye and products","2013","2013","1000 tonnes","3","S","Standardized data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2907","Starchy Roots","2011","2011","1000 tonnes","230","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2907","Starchy Roots","2012","2012","1000 tonnes","233","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2907","Starchy Roots","2013","2013","1000 tonnes","237","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2549","Pulses, Other and products","2011","2011","1000 tonnes","3","S","Standardized data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2549","Pulses, Other and products","2012","2012","1000 tonnes","3","S","Standardized data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2549","Pulses, Other and products","2013","2013","1000 tonnes","3","S","Standardized data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2731","Bovine Meat","2011","2011","1000 tonnes","65","S","Standardized data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2731","Bovine Meat","2012","2012","1000 tonnes","69","S","Standardized data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2731","Bovine Meat","2013","2013","1000 tonnes","70","S","Standardized data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2732","Mutton & Goat Meat","2011","2011","1000 tonnes","41","S","Standardized data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2732","Mutton & Goat Meat","2012","2012","1000 tonnes","48","S","Standardized data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2732","Mutton & Goat Meat","2013","2013","1000 tonnes","49","S","Standardized data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2733","Pigmeat","2011","2011","1000 tonnes","18","S","Standardized data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2733","Pigmeat","2012","2012","1000 tonnes","17","S","Standardized data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2733","Pigmeat","2013","2013","1000 tonnes","17","S","Standardized data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2734","Poultry Meat","2011","2011","1000 tonnes","17","S","Standardized data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2734","Poultry Meat","2012","2012","1000 tonnes","16","S","Standardized data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2734","Poultry Meat","2013","2013","1000 tonnes","17","S","Standardized data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2949","Eggs","2011","2011","1000 tonnes","32","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2949","Eggs","2012","2012","1000 tonnes","51","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2949","Eggs","2013","2013","1000 tonnes","48","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2948","Milk - Excluding Butter","2011","2011","1000 tonnes","1101","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2948","Milk - Excluding Butter","2012","2012","1000 tonnes","1105","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2948","Milk - Excluding Butter","2013","2013","1000 tonnes","1131","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2960","Fish, Seafood","2011","2011","1000 tonnes","7","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2960","Fish, Seafood","2012","2012","1000 tonnes","7","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","3","Albania","5511","Production","2960","Fish, Seafood","2013","2013","1000 tonnes","7","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2511","Wheat and products","2011","2011","1000 tonnes","2555","S","Standardized data"
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2511","Wheat and products","2012","2012","1000 tonnes","3432","S","Standardized data"
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2511","Wheat and products","2013","2013","1000 tonnes","3299","S","Standardized data"
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2805","Rice (Milled Equivalent)","2011","2011","1000 tonnes","0","S","Standardized data"
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2805","Rice (Milled Equivalent)","2012","2012","1000 tonnes","0","S","Standardized data"
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2805","Rice (Milled Equivalent)","2013","2013","1000 tonnes","0","S","Standardized data"
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2513","Barley and products","2011","2011","1000 tonnes","1104","S","Standardized data"
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2513","Barley and products","2012","2012","1000 tonnes","1592","S","Standardized data"
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2513","Barley and products","2013","2013","1000 tonnes","1499","S","Standardized data"
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2514","Maize and products","2011","2011","1000 tonnes","1","S","Standardized data"
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2514","Maize and products","2012","2012","1000 tonnes","2","S","Standardized data"
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2514","Maize and products","2013","2013","1000 tonnes","1","S","Standardized data"
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2907","Starchy Roots","2011","2011","1000 tonnes","3862","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2907","Starchy Roots","2012","2012","1000 tonnes","4219","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2907","Starchy Roots","2013","2013","1000 tonnes","4928","A","Aggregate, may include official, semi-official, estimated or calculated data"
