Country Name,Country Code,agri_gdp_percentage(AVG from 2011 to 2013),Agri_Flag
Aruba,ABW,0.440397943,Closest Entry
Afghanistan,AFG,23.64840012,
Angola,AGO,6.140934528,
Albania,ALB,18.8529122,
Andorra,AND,0.574760068,
Arab World,ARB,5.104312745,
United Arab Emirates,ARE,0.651518459,
Argentina,ARG,6.277798805,
Armenia,ARM,18.17372242,AVG of two
American Samoa,ASM,NaN,
Antigua and Barbuda,ATG,1.934858104,
Australia,AUS,2.270065637,
Austria,AUT,1.335062513,
Azerbaijan,AZE,5.194086646,
Burundi,BDI,36.83074063,
Belgium,BEL,0.705466701,
Benin,BEN,22.16440639,
Burkina Faso,BFA,31.31352932,
Bangladesh,BGD,16.16027598,
Bulgaria,BGR,4.58892599,
Bahrain,BHR,0.280458564,
"Bahamas, The",BHS,1.026538532,
Bosnia and Herzegovina,BIH,6.578936018,
Belarus,BLR,7.647307625,
Belize,BLZ,12.66222348,
Bermuda,BMU,0.758279544,
Bolivia,BOL,9.849575938,
Brazil,BRA,4.339083127,
Barbados,BRB,1.328125099,
Brunei Darussalam,BRN,0.638357349,
Bhutan,BTN,16.13127178,
Botswana,BWA,2.501572164,
Central African Republic,CAF,35.48689253,
Canada,CAN,1.6594171,
Central Europe and the Baltics,CEB,3.310541484,
Switzerland,CHE,0.683041529,
Channel Islands,CHI,NaN,
Chile,CHL,3.45261854,
China,CHN,9.078075954,
Cote d'Ivoire,CIV,23.28657551,
Cameroon,CMR,13.70002535,
"Congo, Dem. Rep.",COD,20.22493478,
"Congo, Rep.",COG,3.890351146,
Colombia,COL,5.694869859,
Comoros,COM,30.5090156,
Cabo Verde,CPV,8.18959621,
Costa Rica,CRI,5.430449358,
Caribbean small states,CSS,3.567485741,
Cuba,CUB,3.793297184,
Curacao,CUW,0.339823647,
Cayman Islands,CYM,0.333544202,
Cyprus,CYP,2.058942499,
Czech Republic,CZE,2.300338816,
Germany,DEU,0.773492702,
Djibouti,DJI,1.842562428,Closest Entry
Dominica,DMA,12.80064097,
Denmark,DNK,1.422993147,
Dominican Republic,DOM,5.447606682,
Algeria,DZA,8.910680063,
East Asia & Pacific (excluding high income),EAP,10.03422482,
Early-demographic dividend,EAR,9.716397587,
East Asia & Pacific,EAS,5.434256515,
Europe & Central Asia (excluding high income),ECA,5.416416717,
Europe & Central Asia,ECS,1.986091186,
Ecuador,ECU,9.004290773,
"Egypt, Arab Rep.",EGY,12.13873999,
Euro area,EMU,1.552370368,
Eritrea,ERI,14.12422744,Closest Entry
Spain,ESP,2.366302326,
Estonia,EST,3.195531514,
Ethiopia,ETH,42.27347071,
European Union,EUU,1.523015014,
Fragile and conflict affected situations,FCS,16.49262574,
Finland,FIN,2.429516026,
Fiji,FJI,9.668862948,
France,FRA,1.580238136,
Faroe Islands,FRO,14.04283349,
"Micronesia, Fed. Sts.",FSM,26.90815404,
Gabon,GAB,3.371689403,
United Kingdom,GBR,0.622960808,
Georgia,GEO,7.728152802,
Ghana,GHA,22.08245186,
Gibraltar,GIB,NaN,
Guinea,GIN,16.81556498,
"Gambia, The",GMB,21.5193144,
Guinea-Bissau,GNB,45.35018919,
Equatorial Guinea,GNQ,1.100383387,
Greece,GRC,3.131911864,
Grenada,GRD,4.705135407,
Greenland,GRL,15.26642549,
Guatemala,GTM,10.75382038,
Guam,GUM,NaN,
Guyana,GUY,18.95480642,
High income,HIC,1.395721647,
"Hong Kong SAR, China",HKG,0.053591651,
Honduras,HND,13.32569259,
Heavily indebted poor countries (HIPC),HPC,24.74445835,
Croatia,HRV,3.447646091,
Haiti,HTI,19.18207027,AVG of two
Hungary,HUN,3.86767906,
IBRD only,IBD,7.959818164,
IDA & IBRD total,IBT,8.858816713,
IDA total,IDA,22.52206551,
IDA blend,IDB,21.21070506,
Indonesia,IDN,13.41432016,
IDA only,IDX,23.6637352,
Isle of Man,IMN,0.639750378,
India,IND,17.06192472,
Not classified,INX,#DIV/0!,
Ireland,IRL,1.091772824,
"Iran, Islamic Rep.",IRN,7.606431822,
Iraq,IRQ,4.485348292,
Iceland,ISL,6.327115136,
Israel,ISR,1.364669923,
Italy,ITA,1.981850498,
Jamaica,JAM,5.79651245,
Jordan,JOR,4.055903659,
Japan,JPN,1.107133902,
Kazakhstan,KAZ,4.593616627,
Kenya,KEN,26.30596301,
Kyrgyz Republic,KGZ,15.95246186,
Cambodia,KHM,33.22399336,
Kiribati,KIR,24.15252191,
St. Kitts and Nevis,KNA,1.293833804,
"Korea, Rep.",KOR,2.216222208,
Kuwait,KWT,0.384617152,
Latin America & Caribbean (excluding high income),LAC,4.738303641,
Lao PDR,LAO,19.09008006,
