Country Name,Country Code,Gini Avg 2011 to 2013,"Gini Flag(Selecing whichever is the closest, if two values with equal distance to 2012. Average)",ari_employment value (AVG 2011-2013),agri_gdp_percentage(AVG from 2011 to 2013),Agri_Flag,AVG GDP 2011-2013 Constant 2010,GDP Flag,Unemployment(AVG 2011 to 2013)
Aruba,ABW,NaN,,NaN,0.440397943,Closest Entry,2484429151,,NaN
Afghanistan,AFG,NaN,,40.70099894,23.64840012,,17613180372,,1.800333341
Angola,AGO,42.7,Closest Entry,50.80833308,6.140934528,,93201224173,,7.39166673
Albania,ALB,29,Closest Entry,45.20966721,18.8529122,,12387551842,,14.24100018
Andorra,AND,NaN,,NaN,0.574760068,,3169006038,,NaN
Arab World,ARB,NaN,,22.55024904,5.104312745,,2.31E+12,,10.16367154
United Arab Emirates,ARE,NaN,,4.159333388,0.651518459,,3.25E+11,,2.398333311
Argentina,ARG,41.5,,0.623666664,6.277798805,,4.50E+11,,7.165333271
Armenia,ARM,29.86666667,,37.49266688,18.17372242,AVG of two,10275232762,,17.31066704
American Samoa,ASM,NaN,,NaN,NaN,,555700440.5,,NaN
Antigua and Barbuda,ATG,NaN,,NaN,1.934858104,,1154484942,,NaN
Australia,AUS,35.25,Weighted Value(0.5*2010 + 0),2.745666742,2.270065637,,1.22E+12,,5.322666645
Austria,AUT,30.7,,4.729666869,1.335062513,,4.05E+11,,4.921333313
Azerbaijan,AZE,26.6,Closest Entry,37.54333369,5.194086646,,53871710714,,5.193333308
Burundi,BDI,38.6,Closest Entry,91.58100128,36.83074063,,2212998150,,1.717333356
Belgium,BEL,27.76666667,,1.277666688,0.705466701,,4.93E+11,,7.702333291
Benin,BEN,43.4,Closest Entry,43.17666626,22.16440639,,7587476371,,2.682333231
Burkina Faso,BFA,35.3,Closest Entry,39.17633311,31.31352932,,10183767857,,5.793333371
Bangladesh,BGD,32.1,Closest Entry,45.78933334,16.16027598,,1.31E+11,,4.063999971
Bulgaria,BGR,35.63333333,,6.626333236,4.58892599,,51674789044,,12.15700022
Bahrain,BHR,NaN,,1.101666649,0.280458564,,27366992970,,1.185333332
"Bahamas, The",BHS,NaN,,2.78700002,1.026538532,,10352334052,,14.90666708
Bosnia and Herzegovina,BIH,33,Closest Entry,17.36699931,6.578936018,,17381283267,,27.68066724
Belarus,BLR,26.76666667,,9.985333442,7.647307625,,62726115348,,6.015999953
Belize,BLZ,NaN,,17.92066638,12.66222348,,1459055920,,12.90933355
Bermuda,BMU,NaN,,NaN,0.758279544,,5329387533,,NaN
Bolivia,BOL,46.76666667,,28.93466695,9.849575938,,21870425094,,2.220333417
Brazil,BRA,52.8,,12.70966689,4.339083127,,2.35E+12,,7.031666597
Barbados,BRB,NaN,,2.914333423,1.328125099,,4568359074,,11.44333331
Brunei Darussalam,BRN,NaN,,0.620666663,0.638357349,,14205598338,,6.88199981
Bhutan,BTN,38.8,,58.25600052,16.13127178,,1781253894,,2.716666619
Botswana,BWA,56.9,Averaging Equal Distance,24.35166613,2.501572164,,14498441943,,17.98966662
Central African Republic,CAF,56.2,Closest Entry,71.29066722,35.48689253,,2023978787,,6.938333352
Canada,CAN,34,Closest Entry,1.771999995,1.6594171,,1.70E+12,,7.292333285
Central Europe and the Baltics,CEB,NaN,,12.77770089,3.310541484,,1.37E+12,,9.937964378
Switzerland,CHE,31.93333333,,3.524333318,0.683041529,,6.01E+11,,4.546666781
Channel Islands,CHI,NaN,,4.581999938,NaN,,NaN,,8.120666822
Chile,CHL,47.45,,9.906000137,3.45261854,,2.43E+11,,6.739000003
China,CHN,41.43333333,,33.26666578,9.078075954,,7.20E+12,,4.566666603
Cote d'Ivoire,CIV,41.5,Closest Entry,45.80933253,23.28657551,,26271500761,,6.256333351
Cameroon,CMR,46.6,Closest Entry,51.33033371,13.70002535,,28560610703,,3.860000054
"Congo, Dem. Rep.",COD,42.1,Closest Entry,70.72966512,20.22493478,,24835062186,,4.404333274
"Congo, Rep.",COG,48.9,Closest Entry,38.33666611,3.890351146,,12881074562,,10.66300011
Colombia,COL,53,,17.27300072,5.694869859,,3.20E+11,,9.634333292
Comoros,COM,45.3,Closest Entry,57.06566747,30.5090156,,979046097.2,,4.19933335
Cabo Verde,CPV,47.2,Closest Entry,14.18533325,8.18959621,,1747526673,,11.56333351
Costa Rica,CRI,48.86666667,,10.36033344,5.430449358,,40425100191,,9.563666662
Caribbean small states,CSS,NaN,,12.33254626,3.567485741,,64822966560,,11.27142925
Cuba,CUB,NaN,,19.18733279,3.793297184,,68083776069,,3.310000022
Curacao,CUW,NaN,,NaN,0.339823647,,NaN,,NaN
Cayman Islands,CYM,NaN,,NaN,0.333544202,,NaN,,NaN
Cyprus,CYP,34.63333333,,3.281666676,2.058942499,,24691081678,,11.84066677
Czech Republic,CZE,26.33333333,,3.023000002,2.300338816,,2.10E+11,,6.880666733
Germany,DEU,30.8,Missing One,1.55066665,0.773492702,,3.56E+12,,5.478000005
Djibouti,DJI,44.6,Missing One,52.55833308,1.842562428,Closest Entry,1128611700,Closest Entry,12.1443332
