Country Name,Country Code,AVG GDP 2011-2013 Constant 2010,GDP Flag,Unemployment(AVG 2011 to 2013)
Aruba,ABW,2484429151,,NaN
Afghanistan,AFG,17613180372,,1.800333341
Angola,AGO,93201224173,,7.39166673
Albania,ALB,12387551842,,14.24100018
Andorra,AND,3169006038,,NaN
Arab World,ARB,2.31E+12,,10.16367154
United Arab Emirates,ARE,3.25E+11,,2.398333311
Argentina,ARG,4.50E+11,,7.165333271
Armenia,ARM,10275232762,,17.31066704
American Samoa,ASM,555700440.5,,NaN
Antigua and Barbuda,ATG,1154484942,,NaN
Australia,AUS,1.22E+12,,5.322666645
Austria,AUT,4.05E+11,,4.921333313
Azerbaijan,AZE,53871710714,,5.193333308
Burundi,BDI,2212998150,,1.717333356
Belgium,BEL,4.93E+11,,7.702333291
Benin,BEN,7587476371,,2.682333231
Burkina Faso,BFA,10183767857,,5.793333371
Bangladesh,BGD,1.31E+11,,4.063999971
Bulgaria,BGR,51674789044,,12.15700022
Bahrain,BHR,27366992970,,1.185333332
"Bahamas, The",BHS,10352334052,,14.90666708
Bosnia and Herzegovina,BIH,17381283267,,27.68066724
Belarus,BLR,62726115348,,6.015999953
Belize,BLZ,1459055920,,12.90933355
Bermuda,BMU,5329387533,,NaN
Bolivia,BOL,21870425094,,2.220333417
Brazil,BRA,2.35E+12,,7.031666597
Barbados,BRB,4568359074,,11.44333331
Brunei Darussalam,BRN,14205598338,,6.88199981
Bhutan,BTN,1781253894,,2.716666619
Botswana,BWA,14498441943,,17.98966662
Central African Republic,CAF,2023978787,,6.938333352
Canada,CAN,1.70E+12,,7.292333285
Central Europe and the Baltics,CEB,1.37E+12,,9.937964378
Switzerland,CHE,6.01E+11,,4.546666781
Channel Islands,CHI,NaN,,8.120666822
Chile,CHL,2.43E+11,,6.739000003
China,CHN,7.20E+12,,4.566666603
Cote d'Ivoire,CIV,26271500761,,6.256333351
Cameroon,CMR,28560610703,,3.860000054
"Congo, Dem. Rep.",COD,24835062186,,4.404333274
