,AVG GDP 2011-2013 Constant 2010,Country Name,Country Code,stunting(percentage),overweight(percentage),Urban_Rural_ratio,Code
0,2484429151.0,Aruba,ABW,,,,
1,17613180372.0,Afghanistan,AFG,40.9,5.4,0.3288169343318471,AFG
2,93201224173.0,Angola,AGO,37.6,3.4,0.5289387108565858,AGO
3,12387551842.0,Albania,ALB,11.3,16.4,1.4292845257903497,ALB
4,3169006038.0,Andorra,AND,,,,
5,2310000000000.0,Arab World,ARB,,,,
6,325000000000.0,United Arab Emirates,ARE,,,7.061594202898552,ARE
7,450000000000.0,Argentina,ARG,8.2,9.9,8.179459223724379,ARG
8,10275232762.0,Armenia,ARM,9.4,13.7,1.8619662363455811,ARM
9,555700440.5,American Samoa,ASM,,,,
10,1154484942.0,Antigua and Barbuda,ATG,,,0.3009813146928351,ATG
11,1220000000000.0,Australia,AUS,2.0,7.7,8.905381944444445,AUS
12,405000000000.0,Austria,AUT,,,1.8943255181787293,AUT
13,53871710714.0,Azerbaijan,AZE,17.8,14.1,1.1789746001881467,AZE
14,2212998150.0,Burundi,BDI,,,,
15,493000000000.0,Belgium,BEL,,,39.305454545454545,BEL
16,7587476371.0,Benin,BEN,32.2,1.9,0.7880904245543099,BEN
17,10183767857.0,Burkina Faso,BFA,21.1,1.7,0.3729080364540182,BFA
18,131000000000.0,Bangladesh,BGD,36.2,1.6,0.4658038403614458,BGD
19,51674789044.0,Bulgaria,BGR,8.8,13.6,2.656828414207104,BGR
20,27366992970.0,Bahrain,BHR,,,,
21,10352334052.0,"Bahamas, The",BHS,,,4.767441860465117,BHS
22,17381283267.0,Bosnia and Herzegovina,BIH,8.9,17.4,0.706267539756782,BIH
23,62726115348.0,Belarus,BLR,4.5,9.7,2.9898904802021904,BLR
24,1459055920.0,Belize,BLZ,15.0,7.3,0.749090909090909,BLZ
25,5329387533.0,Bermuda,BMU,,,,BMU
26,21870425094.0,Bolivia,BOL,16.1,10.1,2.2228517469310667,BOL
27,2350000000000.0,Brazil,BRA,7.0,6.4,5.28737577980501,BRA
28,4568359074.0,Barbados,BRB,7.7,12.2,0.4696242171189979,BRB
29,14205598338.0,Brunei Darussalam,BRN,19.7,8.3,3.6748538011695904,BRN
30,1781253894.0,Bhutan,BTN,,,,
31,14498441943.0,Botswana,BWA,31.4,11.2,1.19202518363064,BWA
