,Country,Barley and products,Bovine Meat,Eggs,"Fish, Seafood",Maize and products,Milk - Excluding Butter,Mutton & Goat Meat,Pigmeat,Poultry Meat,"Pulses, Other and products",Rice (Milled Equivalent),Rye and products,Starchy Roots,Wheat and products,Code,Continent,Crop as Prop total,Pasture as prop total area
0,Afghanistan,441.3333333333333,137.0,17.666666666666668,2.0,307.3333333333333,1807.6666666666667,155.33333333333334,0.0,25.666666666666668,65.33333333333333,374.6666666666667,0.0,246.0,4535.666666666667,AFG,Asia,0.1235561040307392,0.41726729461098855
1,Albania,7.666666666666667,68.0,43.666666666666664,7.0,366.0,1112.3333333333333,46.0,17.333333333333332,16.666666666666668,3.0,0.0,3.0,233.33333333333334,295.6666666666667,ALB,Eurpoe,0.22343003029011513,0.13829751921001773
2,Algeria,1398.3333333333333,133.66666666666666,312.0,106.66666666666667,1.3333333333333333,2923.3333333333335,282.3333333333333,0.0,284.6666666666667,76.33333333333333,0.0,0.0,4336.333333333333,3095.3333333333335,DZA,Africa,0.023437096870608295,0.10749155565551824
3,Angola,0.0,102.33333333333333,5.0,273.0,1088.3333333333333,185.66666666666666,22.333333333333332,85.33333333333333,26.0,0.0,18.0,0.0,15479.0,4.0,AGO,Africa,0.02693317847197321,0.41492744304161144
4,Antigua and Barbuda,0.0,1.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,ATG,North America,0.0,0.0
5,Argentina,4649.666666666667,2638.3333333333335,583.6666666666666,803.6666666666666,25705.333333333332,11209.666666666666,70.33333333333333,349.3333333333333,1913.6666666666667,96.33333333333333,1085.0,45.0,2692.3333333333335,10710.666666666666,ARG,South America,0.11797746634036722,0.33147822967641166
6,Armenia,179.0,50.0,35.0,11.0,19.666666666666668,625.6666666666666,8.666666666666666,10.666666666666666,7.333333333333333,0.0,0.0,1.0,621.6666666666666,259.6666666666667,ARM,Asia,0.19724910635083726,0.29111641652662307
7,Australia,7896.0,2191.6666666666665,213.33333333333334,232.66666666666666,438.3333333333333,9367.666666666666,608.3333333333334,351.0,1076.3333333333333,2056.3333333333335,623.0,38.333333333333336,1271.6666666666667,26723.666666666668,AUS,Australia,0.037452818608981274,0.34655584841876086
8,Austria,751.6666666666666,224.33333333333334,105.66666666666667,3.3333333333333335,2147.6666666666665,3391.6666666666665,7.333333333333333,534.3333333333334,134.33333333333334,26.666666666666668,0.0,214.0,695.0,1551.6666666666667,AUT,Eurpoe,0.17838961424535169,0.19952926619904507
9,Azerbaijan,712.0,118.66666666666667,73.0,2.0,180.66666666666666,1705.0,71.66666666666667,1.0,84.33333333333333,3.3333333333333335,2.6666666666666665,0.0,967.0,1794.0,AZE,Asia,0.228925269568612,0.2758452347311605
10,Bahamas,0.0,0.0,1.0,14.666666666666666,1.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,BHS,North America,0.0,0.0
11,Bangladesh,0.0,199.0,339.0,3125.0,1267.0,3516.0,205.0,0.0,216.0,184.0,33933.0,0.0,8648.333333333334,1074.0,BGD,Asia,0.5578659085914037,0.040164231140666105
